unit_order,unit_id,unit_title,A4095,A4095-Mc-English,CCCP578,CCCP578-Mc-English,P3465,P3465-Mc-English,P3466,P3466-Mc-English,P400,P400-Mc-English,R2536,R2536-Mc-English
45,2490226c-c032-45f5-bf95-fbf70dd1864a,The Rat Should Forget Enmity,ولا تذكر عداوة ما بيني وبينك فإنّ ما حدث بيننا حقيق أن ينسيك ذلك,and are not to remember the enmity between you and me. What has transpired between us should make you forget that.,ولا تذكر عداوة ما بيني وبينك فإنّ ما حدث بيننا أهل أن يُستكمل,and are not to remember the enmity between you and me. What has transpired between us deserves to be brought to completion. The,ولا تذكر العداوة التي بيني وبينك فالذي حدث بيننا يمحو ما سلف من الضغينة ويثني كلّ واحد عمّا وقر في نفس صاحبه,"are not to remember the enmity between you and me, for what has transpired between us erases any previous grudge and turns each one away from what nested in his companion’s heart.",ولا تذكر شيئًا من سالف العداوة فإنّ الذي حدث بيني وبينك من الصلح حقيق أن ينسيك ذلك معما في الوفاء من الفضل وما في الغدر من سوء العاقبة,"and ought not remember anything from the times of hostility, for the truce that has transpired between us should make you forget that, since merit lies in loyalty and treachery begets evil consequences.",وإن كنت تذكر العداوة القديمة فلست حقيقًا أن تفعل ذلك مع بلائي عندك الذي مثله ودونه شكر,"you still remember that old enmity, you should not, especially that I have done well by you, and a deed of this kind is deserving of gratitude- one good",إن كنت تذكر العداوة القديمة فلست حقيقًا أن تفعل ذلك مع حسن بلائي عندك الذي مثله ودونه يُشكر فيثبت على حقد,"And if you still remember that old enmity, you should not, especially that I have done very well by you, and a deed of this kind, or a lesser one, should receive a gratitude that persists"
46,907e4afc-2fea-404e-bdd2-7dbea601eee1,Good Deeds Erase Bad Deeds,وأنّ الكريم لا يكون إلّا شكورًا غير حقود تنسيه الخلّة الواحدة من الإحسان الخلال الكثيرة من الإساة,"The noble person is always grateful, free of grudge, one good quality makes him forget many harmful qualities;",فإنّ الكريم لا يُلقى إلاّ شكورًا غير حقود *تنسيه الخلّة الواحدة من الإحسان الأمور الكثيرة من الإساءة,"noble person will always be found grateful, free of grudge, one good quality sticks with him outweighing many harmful qualities;",,,فإنّ الكريم لا يكون إلّا شكورًا غير حقود تنسيه الخلّة الواحدة من الإحسان الخلال الكثيرة من الإساءة,"The noble person is always grateful, free of grudge, one good quality makes him forget many harmful qualities.",والحسنة الواحدة تمحو عندهم سيّئات كثيرة,"deed rights many wrongs!’ “The rat said, ‘Friends are of two kinds, and one of them is the sincere friend, who must prefer his friend over himself, his kin, and his possessions.",فإنّ الصالحين ليسوا بذوي حقد ولكنّهم أهل الشكر والحسنة الواحدة تمحو عنهم سيّئات كثيرة,against
47,4f520db5-2db5-4e69-8daa-95ea9644ca1f,The Punishment of Betrayal Comes Swiftly,وأعجل العقوبة عقوبة الغدر واليمين الكاذبة ومن إذا تُضرّع إليه *وسُئل العفو لم يعف ولم يصفح,and the swiftest punishment is that of betrayal and perjury and of him whom you plead with and ask his forgiveness but who neither forgives nor forgets.’,وأعجل العقوبة عقوبة الغدر واليمين الكاذبة ومن إذا تضرّع إليه وسأل العفو لم يصفح ولم يعف,and the swiftest punishment is that of betrayal and perjury and of him who you plead with and ask his forgiveness but who neither forgets nor forgives.’ The rat,وأعجل عقوبة الكاذب الغدر ومن تُضرّع إليه وسُئل العفو فلم يعف فقد غدر,The swiftest punishment is that of the treacherous liar; and he with whom you plead with and ask his forgiveness but who does not forgive has acted treacherously.’”,وقد كان يُقال إنّ أعجل العقوبة عقوبة الغدر واليمين الكاذبة ومن إذا تضرّع إليه الملهوف أو سأله المذنب العفو والتجاوز لم يعف ولم يغفر وهو يجد إلى ذلك سبيلًا وإنّه ليس بحافظ أخلاق الصالحين من لا يعمل أعمالهم,It has been,,,,
48,0592a93a-84f3-4637-a652-925b35370e6d,The Rat Must Fulfill the Pact,,,,,,,وكما أسرعت أنا في خلاصك ومعونتك فكذلك أنت حقيق بالاجتهاد في خلاصي من هذا الوثاق,"As I did make haste to deliver and help you, you, too, should be assiduous in delivering me from these bonds.’”",وكما أنّي أسرعت في خلاصك فلذلك فلتكن أنت في الاجتهاد في خلاصه,"As I made haste to deliver you, so you should likewise be assiduous in delivering me.",وكما أنّي أسرعت في خلاصك كذلك فكن أنت في خلاصي,"As I made haste to deliver you, you should act likewise in delivering me."
49,f093b5ad-9121-435d-8054-a7d95b327a27,The Two Kinds of Friends,قال الجرذ الأصدقاء صديقان طائع ومضطرّ وكلاهما يلتمس المنافع ويحترس من المضارّ فأمّا الطائع منهما فيُسترسل إليه ويُوثق به على كلّ حال,"The rat said, ‘Friends are of two kinds: the complaisant and the compelled, and both seek benefits and are wary of harm. One should be open toward and trustful of the complaisant, whatever the situation may be;",قال الجرذ إنّ الأصدقاء صديقان طائع ومضطرّ وكلاهما يلتمس المنافع ويحترس من المضارّ فأمّا الطائع فيُسترسل إليه على كلّ حال,"said, ‘Friends are of two kinds: the complaisant and the compelled, yet both seek benefits and are wary of harm. One should be open to the complaisant, whatever the situation may be;49",قال الجرذ إنّ الصديق صديقان طامع ومضطرّ وكلاهما يلتمسان المنفعة ويحترسان من المضرّة فأمّا الطامع فيسترسل إلى الصديق ويعمل له في جميع الأحوال,“The rat said: ‘A Friend can be one of two kinds: either eager or compelled. Yet both seek benefit and are wary of harm. The eager acts openly toward his friend and serves him in all situations;,قال الجرذ إنّ الصديق صديقان طائع ومضطرّ وكلاهما يلتمس المنافع ويحترس من المضارّ فأمّا الطائع منهما فليسترسل إليه ويؤمن على كل حال,"“The rat said: ‘A Friend can be one of two kinds: either complaisant or compelled, yet both seek benefits and are wary of harm. One should be open toward the complaisant and trust him whatever the situation; as",قال الجرذ إنّّ الأخلّاء خليلان وأحدهما الخليل المصافي ينبغي الذي يؤثر خليله على نفسه وأهله وماله,And if,قال الجرذ إنّ الأخلّاء خليلان فأحدهما الخليل المصافي والآخر المؤاخي صاحبه على حال الاضطرار إلى ذلك فالخليل المصافي ينبغي له أن يؤثر خليله على نفسه وماله وأهله,"“The rat said, ‘Friends are of two kinds: one of them is the sincere friend, and the other is the one who creates bonds of brotherhood with someone while in a state of compulsion. The sincere friend must prefer. his friend over himself, his possessions, and his kin."
50,367c3555-ee49-4e64-9b2a-7098891ed76d,Trusting a Foe Is Like Eating Bad Food,,,,,,,,,يكون صلحه ذلك كالذي يأكل مع من يتبع هوى نفسه فتضعف عن *هضمه معدته,As,يكون صلحه كالذي يأكل ما يتبع فيه هوى نفسه فتضعف عن هضمه معدته,"his truce is that of he who eats the food which fulfills his fancy, and whose stomach cannot digest."
51,1dfdfde6-d1cc-4dd9-bba3-ed42fc4098f0,The Intelligent Trades Favors,فلا يزال العاقل يرتهن منه بعض حاجته ببعض ما يتّقي وما يخاف,the sensible man always holds back a need of the other as a guarantee against what he is cautious of and what he fears;,فلا يزال العاقل يرتهن منهنّ بعض حاجته لما يخاف,as,ولا يزال العاقل يرمي بعض حاجاته ببعض لالتماس النفع الحاصل منها,as,فلا يزال العاقل يرتهن منه بعض حاجته ببعض ما يبقي ويخاف,"so[, in these situations, the sensible man always holds back a need of the other for some danger that remains and which he fears; and",,,,
52,08a53201-d8bf-4247-8298-227071bc0741,The Intelligent Protects Himself,,,,,,,,,ولكن ينبغي للعاقل أن يحفظ لسانه فإنّ الذي يصالح العدوّ ويثق به ويعمل عمله ولا يحفظ نفسه,"a wise man should hold his tongue For he who reconciles with the enemy, trusts him, acts in his interest, and does not watch out for himself- his truce is that of he who eats with someone who follows his fancy with food, and his stomach cannot digest it",ولكن ينبغي للعاقل أن يحفظ نفسه [[يكون صلحه كالذي يأكل]] فإنّ الذي يصالح العدوّ ويثق به ويعمل عمله ولا يحفظ نفسه,"But a wise man should watch out for himself. his truce is like him who eats For he who reconciles with the enemy, trusts him, acts in his interest, and does not watch out for himself-"
53,1cb7e744-a12c-4bcd-938b-667cef2d81f2,Forced Friendship Does Not Last,وأمّا المضطرّ فإنّ له حالات يُسترسل إليه فيها وحالات يُتّقى فيها,"as for the compelled, there are",وأمّا المضطرّ فإنّ له أحوالًا لا تطمئنّ إليه فيها وآخر تبقى,"for the compelled, there are situations in which you can feel secure with him and others in which you keep your reserve.",وأمّا المضطرّ ففي بعض الأحوال يسترسل وفي بعضها يتعزّز,"for the compelled, in some situations he acts openly, and in others he shows pride.",وأمَّا المضطرّ فإنّ له حالان يُسترسل اليه فيها وحالان يُتّقى فيها,"for the compelled, there are two situations in which you can be open toward him and others in which you remain cautious of him.",وأمّا الخليل الذي اضطرّ إلى مودّة صاحبه فربّما ثبت وتمّت المودّة بينهما وكثيرًا ما ينفسخ فلا ينمي ولا يتمّ,"for the friend who is compelled into amity with an acquaintance, it could happen that the amity becomes firm and lasting; but oftentimes, it disbands, going stale and unfulfilled.",وأمّا الخليل الذي يضطرّه إلى مودّته فربّما تمّت وتمّت العداوة والمودّة بينهما وكثيرًا ما تنفسخ فلا تتمّ ولا تنمو,"As for the friend who is compelled into amity, it could happen that both the enmity and the amity become fulfilled; but oftentimes, they disband, going unfulfilled and stale."
54,291df1aa-6cd4-4151-bc6b-7f664ccd1127,Friendship Is Pursued For a Need,وليس عامّة التواصل والتحابب بين الناس إلّا التماس عاجل النفع,"and on the whole, connections and mutual love among people exist only to seek an immediate benefit.",وليس عامّة التواصل والتجارب من الخلق إلّا لالتماس عاجل النفع ومؤخّره,"And so in these situations, the sensible man always holds back a need of the other as a guarantee against what he fears; and on the whole, people’s connections and experiences only exist to seek an immediate or deferred benefit.",,,وليس عامّة التواصل والتحابب بين الناس إلاّ لالتماس عاجل النفع ومرجوّه,"And so[, in these situations, the sensible man always holds back a need of the other for some danger that remains and which he fears; and on the whole, connections and mutual love among people only exist to seek an immediate or anticipated benefit.",,,,
55,217a0ba1-f2ce-42e5-939f-7a0c1f37bc49,The Rat Acknowledges His Remaining Obligation ,,,,,,,,,,,وقد خلّصت عملي وبقي ما عليّ,"I have finished my work, and some is due still;"
56,e147a3be-cc27-4c57-b663-7b2e65603f33,The Rat Explains the Reasons for Self-Protection,وأنا واف لك بما جعلت على نفسي ومحترس من أن يصيبني منك ما هو الذي ألجاني إلى صلحك,I will fulfill to you what I have pledged upon myself but am wary not to be afflicted with the very thing which had made me seek a truce with you;,وأنا موف لك بما جعلت لك على نفسي ومحترس من أن يصيبني منك ما هو ألجأني إلى صلحك,I will fulfill to you what I have pledged upon myself but am wary not to be afflicted with the very thing which had made me seek a truce with you;,,,وأنا واف لك بما قلته ومحترس مَع ذلك من أن يصيبني منك ما هو ألجأني إلى صلحك وألجأك إلى قبول ذلك منّي,"I will fulfill what I have said but am wary, despite that, not to be afflicted with the very thing which had made me seek a truce with you and made you accept that from me;",,,,
57,ccc10ba3-64bf-4078-9f93-4fd1d75808c0,The Rat Resumes Cutting the Rope,,,,,ثمّ أنّ الجرذ أخذ في قطع حبائل السنّور,"And so, in these situations], the sensible man always prioritises some of his needs over others, to seek the benefit that results from doing that.’” “Then the rat took to cutting the cat’s cords. While Farīdūn",,,,,,
58,be88d988-29a6-4a80-bb16-d5fa65f5194a,Ill-Timed Harvest,,,,,,,,,,,,
59,d1867dd0-552e-4617-8a5d-bb44d5cd1d14,Everything Has Its Time,فإنّ لكلّ عمل حينًا,"for each action has a set time,",فإنّ لكلّ عمل !حباله,"for each action has a catch,",,,فإنّ لكلّ عمل حينًا,"for each action has a set time,",,,ولكلّ عمل حين ينبغي أن يُعمل فيه,"but every action has a set time at which it should be carried out,"
60,9be666f4-4981-40d8-b6ac-0cbbe2bf07e5,Bad Timing Brings Failure,وإن لم يكن في حينه فلا عاقبة له,"and if it is not carried out in its proper time, it will have no outcome.",,,,,وما لم يكن في حينه فلا عاقبة له,"and whatever is not carried out in its proper time, will have no outcome.",,,ومن لم يعمل العمل في حينه لم ينتفع بثمرة عمله,"and whoever doesn’t carry out a work at its set time, does not reap the fruits of his work."
61,aa280264-42d0-431e-989e-858ef6b86f17,The Rat Explains Not Cutting the Last Rope,وأنا قاطع حبائلك لوقتها غير أنّي تارك عقدة واحدة أرتهنك بها فلا أقطعها إلّا في الساعة التي أعرف أنّك عنّي فيها في شغل,I will cut your bonds in due time but will leave one knot to guarantee my safety from you and won't cut it until the time when I know you’re too busy with some matter to notice me.’”,وأنا قاطع حبالك لوقتها ولكنّي تارك منها عقدة أرتهنك بها ولا أقطعها إلاّ في الساعة التي أعلم أنّك فيها عنّي مشغول,and I will cut your bonds in due time but will leave one knot to guarantee my safety from you and won't cut it until the time when I know your attention to be distracted from me.’,,,وأنا قاطع حبائلك كلّها غير أنّي تارك عقدة واحدة أرتهنك بها فلا أقطعها إلاّ في الساعة التي أعلم أنّك فيها عنّي مشغول لا تستطيع إدراكي إذا نجوت من الوثاق,I will cut all of your bonds but will leave one knot to guarantee my safety from you and won't cut it until the time when I know your attention to be distracted from me and that you cannot reach me when you become freed from the bonds.’”,وأنا قاطع وثاقك وأترك سلكًا واحدًا أرتهنك به لتقطعه أنت حتّى لا تستطيع إدراكي فإذًا نجوت من الوثاق,,وأنا قاطع وثاقك وتارك سلكًا واحدًا أرتهنك به لتقطعه أنت حتّى لا تستطيع إدراكي إذا نجوت من الوثاق,"‘I will cut your bonds, leaving one cord, which I will take as a security, for you to cut yourself, so that you could not catch me, when you become free from your bonds.’"
62,265a3999-8639-4a3c-adf3-8ed6c599660c,The Rat Cuts All but One Rope,ففعل ذلك,"“He did so,",,,,,ففعل ذلك,"“He did so,",,,,
63,f9ea4cc5-f504-4bcd-8ad2-0bc0c3224bfe,The Huntsman Approaches,وباتا يتحادثان حتّى إذا أصبحا إذا هما بالصيّاد قد أقبل من بعيد,"and they spent the night, talking until morning came when they suddenly saw the huntsman had approached their place from afar.",قال فلمّا أصبحا الجرذ والسنّور وجدا الصيّاد من بعيد فقال الجرد,"“When morning came, “he continued,“ the cat and the rat noticed the huntsman had approached their place from afar, so the rat said",فبينما هو كذلك إذ وافى الصيّاد,"was at it, the huntsman arrived,",فلمّا أصبحا إذا هما بالصيّاد قد أقبل من بعد,"and when morning came, they suddenly saw the huntsman approaching from afar.",فلمّا أصبحا وجاء الصيّاد إلى ذلك المكان,"“When morning came, the huntsman arrived at the place and",فلمّا أصبحا وجاء الصيّاد إلى ذلك المكان,"“When morning came, and the huntsman arrived at the place,"
64,ed1ad7e4-8df4-4132-a3c6-d928355998bb,The Cat Expects to Die,,,,,,,فلمّا رآه السنّور استشعر الهلكة,"When the cat saw him, he sensed perdition.",استقبل السنّور,set his eyes on the,استقلّ السنّور,the cat rose istaqalla
65,d47ac39b-704b-424e-8f93-48be02022c87,The Cat Requests Fulfillment,,,,,فقال له السنّور الآن جاء الجدّ في قطع حبائلي,and the cat said to him: ‘The time has come for showing seriousness in cutting my cords.’,,,,,,
66,38dcab3d-9849-4aa0-a72c-ae878ae8b677,The Rat Resolves to Cut the Last Rope,فقال الجرذ الآن جاء موضع الجدّ في قطع بقيّة حبائلك,"So the rat said to the cat, the time now has come for diligence in cutting what is left of your cords.’”",للسنّور الحين حين جاء موضع الحذر سأجدّ في قطع ما بقي من حبالك,"to the cat, ‘the time for alertness has now come indeed; I will diligently cut what is left of your cords.’”",,,فقال الجرذ الآن جاء مكان الجدّ في قطع ما بقي من حبائلك,"So the rat said to the cat, ‘now is the place for diligence in cutting what remains of your cords.’”",,,,
67,6b296c7d-611a-45cd-bb88-625badb1fa17,The Rat Fulfills the Pact,فقطع حبائله ولم يدن منهما الصيّاد حتّى فرغ الجرذ على سوء ظنّ من السنّور ودهش,"“He cut his cords, and before the huntsman came close, the rat had finished, despite the cat’s mistrust and perplexity.”",فلم يدن منهما الصيّاد حتّى فرغ الجرذ من قطع بقيّة الحبال الذي كان السنّور موثوق بها وقد قطعها على سوء ظنّ منه وخائف منه أن يمكر به لعلّمه أنّه غادر لا أمانة له,"“And before the huntsman could come close, the rat had finished cutting the rest of the cords with which the cat had been tied-he cut them despite his mistrust in the cat and afraid that he",فأجهد الجرذ نفسه في القرض حتّى إذا فرغ,"So the rat exerted himself at gnawing. When he was through, the cat jumped",فلم يدنو الصيَّاد حتّى فرغ الجرذ من قطع الحبائل على سوء ظنّ من السنّور ودهش منه,"“Before the huntsman came close, the rat had finished cutting the cords, despite the cat’s mistrust and his perplexity.”",,,,
68,dfa71f27-5d70-4df6-8053-da95d7263b67,The Cat Breaks from the Last Rope,,,,,,,,,ونظر السنّور الى الجرذ وقد ترك السلك ولم يقطعه فجذب الشرك وهو لا يطمع قطعه فانقطع السلك,"cat. The cat looked at the rat, having had left the one cord uncut; he pulled at the net, not expecting the cord to be cut, but it did,",فجذب السلك وهو لا يطمع في قطعه فانقطع السلك,"and pulled at the cord, not expecting it to be cut, but the cord did,"
69,a48385e0-44da-4552-98b8-2190ab89accf,The Cat and the Rat Escape,فلمّا أفلت عدا إلى الشجرة فصعدها ودخل الجرذ الحجر فأخد الصيّاد حبائله مقطّعة وانصرف خائبًا,"“When he got free, he ran to the tree and climbed it, the rat entered his burrow, and the huntsman grabbed his shredded cords and left disappointed.”",فلمّا قطع بقيّة حباله وعلم السنّور أنّه خلص من الحبال مرّ هاربًا داهشًا إلى الشجرة فصعدها وانحجر الجرذ في حجره وأخذ الصيّاد حباله مقطّعة وانصرف حزينًا,"“When he cut the rest of his cords, and the cat knew that he had been delivered from the cords, he passed toward the tree, scampering, flabbergasted, and climbed it; the rat went into his den; and the huntsman grabbed his shredded cords and left feeling sad.”",وثب السنّور إلى الشجرة على دهش من الصيّاد ودخل الجرذ بعض الأحجار وجاء الصيّاد فأخذ حباله مقطّعة ثمّ انصرف خائبًا,"to the tree-to the huntsman’s amazement- and the rat entered some burrow. The huntsman approached and grabbed his shredded cords, then left feeling disappointed.” “Then the rat",فلمّا فرغ عدا السنّور إلى الشجرة فصعدها وانجحر الجرذ وأخذ الصيّاد حبائله وشبكته وانصرف خائبًا,"“When he finished, the cat ran to the tree and climbed it, the rat dived into his burrow], and the huntsman grabbed his shredded cords and net and left feeling disappointed.”",ونجوا جميعًا فصعد السنوّر إلى الشجرة ودخل الجرذ الجحر وانطلق الصيّاد ممّا هنالك,"and both survived The cat climbed up the tree, the rat went into the den, and the huntsman left the place. “Later,",ونجوا جميعًا فصعد السنّور الشجرة ودخل الجرذ في جحره وانطلق الصيّاد بما هنالك,"and both survived The cat climbed the tree, the rat went into the burrow, and the huntsman left"
70,fd754d0f-996d-40f9-b2d8-0ffc36fa1dd3,The Cat Calls Back the Rat,وخرج الجرذ بعد ذلك من جحره فرأى السنّور من بعيد فكره أن يدنو منه وناداه السنّور أيّها الصديق ذو البلاء الحسن,"The rat came out of his burrow after that, saw the cat from afar and dreaded approaching him. ‘O, friend,’ cried the cat, ‘you who have done a good deed",وخرج الجرد بعد ذلك فرأى السنّور فكرِه أن يتقرّب منه فناداه السنّور هلمّ أيّها الصديق ذو البلاء الحسن,"The rat came out after that, saw the cat and dreaded coming close to him. ‘Come, friend,’ cried the cat, ‘you who have done a good deed.",ثمّ أنّ الجرذ خرج بعد ذلك وكره أن يدنو من السنّور فناداه السنّور أيّها الصديق الناصح ذو البلاء الحسن,"came out, after that, and dreaded approaching the cat, so the cat cried to him: ‘O friend who advises well, you who have done a good deed:",وخرج الجرذ بعد ذلك من جحره فرأى السنّور من بعيد فكره أن يدنو منه فناداه السنّور أيّها الصديق ذا البلاء الحسن عندي,"The rat came out of his burrow after that, saw the cat from afar and dreaded approaching him.",ثمّ إنّ الجرذ أراد الخروج من الجحر فرأت السنّور فلم تقربه فصاح به السنّور,"the rat wanted to come out of the burrow, but he saw the cat and did not come close to him. ‘Why don’t you approach me, O gracious",ثمّ إنّ الجرذ [[اخر]] أراد الخروج من الجحر فرأى السنّور فلم يقربه فصاح به السنّور,"“Later, the rat tarried wanted to come out of the burrow, but he saw the cat and did not come close to him. So the cat cried,"
71,facede21-ce8d-491f-8f86-1791e273c8dd,The Rat Refuses the Call,,,,,,,,,,,,
72,765c2f1d-6635-42f8-853d-bf39798e246f,The Cat Reminds the Rat of their Friendship,ما يمنعك من الدنوّ مني لأجزيك بأحسن ما أبديتني هلمّ إليّ ولا تقطع إخائي,"What is stopping you from approaching me, so that I can endow you with the best for the favor you have done me Do come to me and don’t sever my brotherly ties;",ما منعك من الدنوّ منّي فأجازيك بما أبليتني فتعال إليّ ولا تقطع إخائي,"What is stopping you from approaching me, so that I can reward you for the good you’ve done by me Come to me, then, and don’t sever my brotherly ties;",ما منعك من الدنوّ إليّ لأجازيك بأحسن ما أسديت إليّ هلمّ إليّ ولا تقطع إخائي,"What is stopping you from approaching to me, so that I can endow you",ما يمنعك من الدنوّ منّي لأجازيك بأحسن ما أبليتني هلمّ إليّ ولا تقطع إخائي,"is stopping you from approaching me, so that I can endow you with the best for the favor you have done me Do come to me and don’t sever my brotherly ties;",لم لا تدنو منّي يا خليلي المنعم,"friend,’ cried the cat.",لم لا تدنو يا خليلي,"‘Why don’t you approach me, O dear friend"
73,ae975bba-ec92-45d1-afaa-1c77691917b8,If One Gives Up a Friend One Loses Out,فإنّه من اتّخذ صديقًا ثمّ أضاع ودّ إخائه حُرم ثمرة الإخاء وأيس من منفعة الإخوان,for he who takes a friend and then loses the affection of those brotherly ties will be prevented from reaping the fruits of brotherhood and will despair from obtaining benefits from brethren.,فإنّه من اتّخذ صديقًا ثمّ أضاع إخاءه حُرم ثمرة الإخاء وأيس منه أهل مودّته,for he who takes a friend and then loses those brotherly ties will be prevented from reaping the fruits of brotherhood and will make despair those people who hold affection for him.,فإنّه من اتّخذ صديقًا وقطع إخاءه وأضاع صداقته حُرم ثمرة إخائه,"for he who takes a friend, and cuts off any brotherly connections and loses his friendship, will be prevented from reaping the fruits of his brotherhood;",فإنّه من اتّخذ صديقًا وقطع أخاه حُرم ثمرة الأصدقاء والإخاء وأيس من نفعه الإخوان والأصدقاء,"for he who takes a friend and cuts off any brotherly connections will be prevented from reaping the fruits of friendship and brotherhood, and brethren and friends will despair from obtaining benefits from him.",,,,
74,3119ff49-7b90-4b7d-86e1-b9b8d06af38b,The Cat Suggests a Reward,وإنّ يدك عندي اليد التي لا تُنسى فأنت حقيق أن تلتمس مكافأة ذلك منّي ومن إخواني وأصدقائي,"Your favor, to me, is a favor that cannot be forgotten, and you are entitled to seek the reward for that from me and from my brothers and friends. So fear nothing",فإنّ يدك عندي اليد التي لا تُنسى وأنت حقيق أن تلتمس مكافأتي إيّاك بذلك *ومجازاة إخواني وأصدقائي لك,"Your favor, to me, is a favor that cannot be forgotten, and you are entitled to seek my reward for it-as well as that of my brothers and friends.",واعلم أنّ ما قبلي لك مبذول,and know that what I owe you will be bestowed upon you.’”,وإنّ يدك عندي لا تُنسى وأنت حقيق أن تلتمس مكافأة ذلك منّي ومن إخوانى وأصدقائي,"Your favor to me cannot be forgotten, and you are entitled to seek the reward",فإنّي أحبّ أن أكافئك على إحسانك وأطعمك ثمرة عملك فادن منّي,‘I would love to reward you for your beneficence and let you taste the fruits of your deed.,فإنّي أحبّ أن أكافئك على إحسانك إليّ وأطعمك ثمرة عملك فادن منّي,I would love to reward you for your beneficence toward me and let you taste the fruits of your deed. Approach me and fear not:
75,4bccc948-093c-4dcf-9c96-6df3e3232692,The Cat Reassures the Rat,فلا تخافنّ منّي شيئًا واعلم أنّ ما قبلي لك مبذول ثمّ حلف له واجتهد على تصديق ما قال,"from me and know that what is mine will be bestowed upon you.’ He then swore to him, fervently emphasizing to the truth of what he had said.”",فلا تخافنّ مني شيئًا فاعلم إنّ ما قيل لك مبذول ثمّ إنّه حلف له واجتهد على صدقه,"So fear nothing from me, for you should know that what has been declared to you will be bestowed.’ He then swore fervently emphasizing to the truth of his words.”",,,فلا تخافنّ منّي شيئًا واعلم أنّ ما قبلي لك مبذول ثمّ حلف واجتهد على صدقه فيما قال,So fearnothing from me and know that what is mine will be bestowed upon you.’ He then swore fervently to the truth in what he had said.”,ولا تخف فنفسك أعزّ عليّ من نفسي وحلف له أن لا يبغيه سوءًا,"Approach me and fear not: you are dearer to me than myself,’ and he swore he did not want to do him harm. ”",ولا تخف فما نفسي بأعزّ عليّ منك وحلف له أن لا يبغيه سوءًا,"for my self is not dearer to me than you,’ and he swore he did not want to do him harm.”"
76,3b84fefd-5a0c-47ce-ace9-c9082653d313,The Treatment of Friends or Foes,,,,,,,,,فقال الجرذ إنّ الذي لا يحسن مداراة الأعداء والأصدقاء أضرّ بنفسه وأهلكها,"‘He who fails to appease friends and enemies,’ said the rat, ‘harms and ruins himself.",فقال الجرذ إنّ الذي لا يحسن *مداراة الأعداء والأصدقاء أضرّ بنفسه ويهلكه,"‘He who fails to appease friends and enemies,’ said the rat, ‘harms himself and ruins it."
77,874b7e8c-b015-49ee-a256-30d8c6f754b3,The Rat Distinguishes Hidden from Overt Enmity,فأجابه الجرذ أنّه ربّ عداوة باطنة ظاهرها صداقة وهي أشدّ ضرًّا من العداوة الظاهرة,"“The rat answered: ‘Many a hidden enmity is, on the surface, a friendship, which is more harmful than open enmity,",فقال الجرذ أنّه ربّ عداوة باطنة ظاهرها صداقة وهي أشدّ ضررًا من العداوة الظاهرة,"“The rat said: ‘Many a hidden enmity is, on the surface, a friendship, which is more harmful than open enmity,",فناداه الجرذ رُبّ صداقة ظاهرة باطنها عداوة كامنة وهي أشدّ من العداوة الظاهرة,"“The rat cried back ‘Many an open friendship is deep down a hidden enmity, which is more harmful than open enmity,",فقال الجرذ إنّه ربّ عداوة باطنة ظاهرها صداقة وهي أشدّ ضررًا وأبلغ من العداوة الظاهرة,"“The rat said: ‘Many a hidden enmity is, on the surface, a friendship, which is far more harmful than open enmity,",,,,
78,eafd61bd-6c64-4732-bc5e-51d44bdf720e,Hypocricy Is the Worst Danger,,,,,,,,,,,,
79,d7476ec6-31f5-4c03-b638-b6d8648de1ce,Riding an Elephant's Tusk,ومن [ومن] لم يحترس منها وقع في موقع من يركب ناب الفيل المغتلم ثمّ يغلبه النعاس,and whoever is not wary of it will suffer that which befalls he who rides the tusk of a rutting elephant then falls asleep.,ومن لم يحترس منها وقع موقع الرجل الذي ركب ناب الفيل ثم تغلّبه النعاس,and who ever is not wary of it will suffer that which befell the man who was riding the tusk of an elephant and fell asleep.,التي موقعها موقع الرجل الذي يركب ناب الفيل المغتلم ثمّ يغلبه النعاس فيطيح ويهلك,"and its outcome is similar to that of a man who rides the tusk of a rutting elephant then falls asleep, topples over, and perishes.",ومن لم يحترس منها وقع موقع الرجل الذي يركب ناب الفيل المغتلم ثمّ يغلبه النعاس فيستيقظ تحت فراسن الفيل فيدوسه فيقتله,"and whoever is not wary of it will suffer that which befell the man who rides the tusk of a rutting elephant, fell asleep, then wakes up beneath the feet of the elephant, who tramples him to death.",,,,
