unit_order,unit_id,unit_title,A4095,P3465,P3475,R2536,CCCP578,P3471
70,69975cb5-4b0b-45c2-97cb-ceec6e7a35a7,Courtiers Are Amazed at Lion's Unawareness,فقال عند {ذلك} بعض جلساء الأسد إنّي لأعجب من رأي الملك ومعرفته بالأمور كيف يخفى عليه أمر هذا ?المخادع,فقال بعض جلساء الملك إنّي ﻷعجب من رأي الملك ومعرفته بالأمور كيف يخفى عليه أمر هذا ولم يعرف خِبّه ومخادعته,,وقال عند ذلك بعض جلسائه إنّي ﻷعجب من رأي الملك ومعرفته بالأمور وكيف خفي عليه أمر هذا فلم يعرف خبثه ومخادعته,فقال بعض وزراء الملك إنّي ﻷعجب من رأي الملك ومعرفته بالأمور كيف خفي عليه أمر هذا الفاجر وحيلته ومكره ومخادعته,فقال عند ذلك بعض جلساء الأسد إنّي ﻷعجب من رأي الملك ومعرفته بالأمور كيف خفي عليه أمر هذا ولم يعرف خِبّه ومخادعته
71,f3c9b61c-6179-4854-ba5c-d95962952451,Courtiers Expect Jackal's Pardon,وقال آخر فأعجب من هذا أنّي لا أراه إلّا سيصفح عنه بعد الذي ظهر عليه منه,وأعجب من هذا أراه سيصفح عنه بعد الذي ظهر منه,,قال آخر ما عجبت من هذا إلّا أنّي أراه سيصفح عنه بعد ما ظهر منه الذي ظهر,,قال آخر أعجب من ذلك أنّي لا أرى الأسد إلّا سيصفح عنه بعد الذي ظهر عليه منه
72,01cccba3-157e-45c2-88e8-d8d6da88c74e,False Message and Death Sentence,ثمّ إنّ الأسد أرسل إلى ابن آوى بعضهم لينظر ما يكون من عذره فجاء الأسد منه برسالة كذب فغضب الأسد من ذلك وأمر بابن آوى أن يُقتل,فأرسل رسولًا إلى ابن آوى يلتمس منه العذر فرجع إليه الرسول برسالة كاذبة فغضب الأسد من ذلك وأمر به أن يُقتل,,فأرسل الأسد بعضهم رسولًا إلى ابن آوى يسأله عن عذره فأرسل إليه برسالة خرقها الرسول فأغضبه للأسد فأمر بابن آوى أن يُقتل,ثمّ إنّ الأسد أرسل بعضهم إلى ابن آوى وسأله في أمره فرجع إليه برسالة كذب فيها الرسول فعند ذلك غضب الأسد على ابن آوى وأمر بقتله,ثمّ إنّ الأسد أرسل بعضهم إلى ابن آوى فسأله عن أمره وغدره فرجع إليه برسالة كاذبة اخترعها الرسول فغضب منها الأسد وأمر بابن آوى أن يُقتل
73,6c59aaf3-858c-4cf8-b0cb-3843a81f742d,Mother’s First Speech,,,,,,
74,cf7d93d4-c743-4e80-b80d-bacbdf16d02b,Lion's Mother Delays Execution,وبلغ ذلك أمّ الأسد فعلمت أنّ الأسد قد عجل في أمره فأرسلت إلى الذين أُمروا بقتله أن يؤخّروه,فلمّا عرفت أمّ الأسد ذلك علمت أنّه قد عجل في أمره فأرسلت إلى الذين أُمروا بقتله أن يؤخّروه,,فلمّا بلغ ذلك أمّ الأسد عرفت أنّ الأسد قد عجّل في أمر ابن آوى فأرسلت إلى الذين أُمروا بقتله أن يؤخّروه,فبلغ ذلك أمّ الأسد فأرسلت إلى الذين أمرهم بقتله وأمرتهم أن يؤخّروه,وبلغ ذلك أمّ الأسد فعرفت أنّ الأسد قد عجل عليه في أمره فأرسلت إلى الذين أُمروا بقتله أن يؤخّروه حتّى تدخل إلى الأسد ففعلوا
75,38e75f5a-fb37-4db5-8a18-fed199b2f643,Mother Questions Lion,ودخلت على الأسد فقالت له لأيّ ذنب أمرت بابن آوى أن يُقتل فأخبرها الأسد بالأمر فقالت له قد عجلت يا بنيّ,ودخلت على ابنها فقالت يا بنيّ بأيّ ذنب أمرت بقتل ابن آوى فأخبرها بالأمر فقالت يا بنيّ عجلت,,فدخلت على ابنها فقالت لأيّ ذنب أمرت بابن آوى أن يُقتل فأخبرها الأمر فقالت عجلت أي بنيّ,ودخلت على الأسد مسرعة وقالت أيّها الملك ما فعل من الذنب عرّفْني ولا تسمع من الكلام المفسود فلِم أمرت بقتله فأخبرها خبره من أوّله إلى آخره فقالت له يا ولدي قد عجلت في أمر ابن آوى,ودخلت على ابنها فقالت له لأيّ ذنب أمرت بابن آوى أن يُقتل فأخبرها الأسد بالأمر فقالت قد جعلت العجلة عليه
76,1567dfbc-e8df-4451-9b86-554eff28e936,The Intelligent Deliberates,وإنّما يسلم العاقل من الندامة بترك العجلة والأناة والتثبيت,وإنّما يسلم العاقل من الندامة بترك العجلة والتثبّت,,وإنّما يسلم العاقل من الندامة بترك العجلة والأناة والتثبّت,إنّما سُمّي العاقل *عاقلًا إذا أخذ في أمره بالأناة,وإنّما يسلم العاقل من الندامة بترك العجلة وبالأناة والتثبّت في الأمور كلّها
77,3224dea6-1cc6-49fe-8493-3d425d7e846c,Haste Causes Regret,ولا يزال يجتني ثمرة الندامة وضعف الرأي من لم يتثبّت في الأمور,والعجلة لا يزال صاحبها يجني ثمر الندامة وضعف الرأي,,والعاجل لا يزال يجتني ثمرة الندامة وضعف الرأي,وأمّا العجلة لا يزال صاحبها يجني منها ثمرة الندامة أبدًا,لأنّ العجلة لا يزال صاحبها يجتني منها ثمرة الندامة وضعف الرأي
78,6bb5d34a-1d1d-457a-a338-879fc105c092,Kings Need Deliberateness Most,وليس أحدًا أحوج إلى التؤدة والتأنّي من الملوك,,,وليس أحد أحوج إلى التؤدة من الملوك,وليس أحد أحوج إلى التأنّي من الملوك لأنّ الملوك تحتاج إلى ذلك,وليس أحد أحوج إلى التودّد والتثبّت من الملوك
79,9dd3c5ae-4473-4ee5-b95c-92fc08600709,Chain of Dependence up to King's Virtues,فإنّ المرأة بزوجها والولد بوالديه والمتعلّم بالمعلّم والجند بالقائد والناسك بالدين والعامّة بالملوك والملوك بالتقوى والتقوى بالعقل والعقل بالتثبّت,,,فإنّ المرأة بزوجها والولد بوالديه والمتعلّم بالعلم والجند بالقائد والناسك بالدين والعامّة بالملوك والملوك بالتقوى والعقل والتقوى بالتثبّت,,فإنّ المرأة بزوجها والولد بوالديه والمتعلّم بمعلمّه والصاحب بصديقه والجند بالقادة والناسك بالدين والعامّة بالملوك والملوك بالتقوى والعقل بالتثبّت والأناة
80,0ec376d8-793f-4556-a68a-de2d03e73868,King to Consider People's Ranks,ورأس الحزم للملك معرفة أصحابه وإنزاله إيّاهم منازلهم واتّهام بعضهم على بعض,,,ورأس الحزم للملك معرفة أصحابه وإنزالهم منازلهم وإتمام بعضهم على بعض لئلّا يجد بعضهم إلى بعض سبيلًا,والصبر رأس العلم لأنّ الملك ينبغي له معرفة أصحابه وإنزاله إيّاهم منازلهم وإبهام بعضهم على بعض,ورأس الحلم والحزم للمَلك معرفة أصحابه وإنزاله إيّاهم منازلهم واتّهامه بعضهم على بعض
81,e5e90f8e-9780-4012-ae3e-96b37122d48d,People Scheme against Each Other,فإنّه إن وجد بعضهم إلى هلاك بعض سبيلًا وإلى تهجين بلاء المبتلي وإحسان المحسنين والتغطية على إساءة المسيئين لم يدعوا ذلك وذلك سريعًا في إضاعة الأمر وجلب عظيم الخطر والضرر,,,فإنّهم يلتمس بعضهم هلاك بعض وإظهار إساءة المسيء وإخفاء إحسان المحسن,,فإنّهم إن وجد بعضهم إلى هلاك بعض سبيلًا وإلى تهجين بلاء المسلمين وإحسان المحسنين والتستّر على إساءة المسيئين لم يدعوا ذلك ولم يكن لهم فيه رويّة *ولا مراقبة وذلك سريع في ضياع الأمر وانتشاره وجلب عظيم الضرورة والعيب
82,df72a430-893d-4037-8f29-eede7eabd1cd,King to Be Aware of Schemes,,,,,والملك أحقّ بالنظر إلى أمورهم من تحمّل بعضهم على بعض فيدخل على الملك ما يتحدّث به العدوّ والجاهل,والملك حقيق أن يتعاهد من ذلك ما يجب عليه لئلّا يركب من أحد منهم مأثمًا يحتمل فيه إصرًا ووزرًا فينشر ذلك عنه ويتسامع به من ورائه فيدخل عليه منه ما الجميل ?يغيّره
83,5c93db91-ec6b-41a3-b0bf-bff3d106fe1b,Mother Finds Accusation Absurd,فأمرت بقتله في طابق من لحم فقدته,وما كان من رأي الملك أن يعجل عليه لأجل طابق لحم,فقالت له أمّ الأسد إنّ هذا كذب ... ومكر,أن يفعل به الذي يفعل في طابق لحم لا يستيقن *الأمر فيه,وقد عجبت من الملك كيف يقتل ابن آوى على شيء ما له قدر ولا قيمة,وقد عجبت من أمر الملك تقتل ابن آوى في طابق لحم بعد خبرته بأمره
84,b9d92cc5-5193-45a7-8436-0c8e1e5cd2b7,Lion Tested and Praised Jackal,,,,وبعد ما كان من ثناء الملك عليه على رؤوس جنده,من بعد ما جرّبت أمره ومعرفته وقد بان لك من فضله وأمانته وخدمته ومناصحته لك في جميع أعمالك *وثنائك عليه عند جندك وبيده بيوت أموالك كلّها من صغيرها وكبيرها,وبعد ما كان من ثنائك على رؤوس جندك عليه
85,4b99ec4f-79df-405f-89ac-f042e74cdcd5,Lion Tested and Approved Jackal,وقد كنت بلوت ابن آوى واختبرته قبل استعانتك به وتفويضك إليه فلم *تزل عنه راضيًا تزيدك الأيّام له استصلاحًا وإليه استرسالًا وفيه رغبة,,,,,وقد كنت بلوت ابن آوى واختبرت أدبه ومروءته قبل استعانتك به وتفويضك إليه فلم تزل عنه راضيًا تزيدك الأيّام استصلاحًا إليه وفيه رغبة واسترسالًا
86,d49f0a61-cc25-41bf-9134-c4b50c05655c,Jackal Has Shown Integrity,,وليس ينبغي للملك بعد ارتضائه إيّاه وائتمانه له منذ *مجيئه وإلى الآن لم يطّلع له على خيانة إلّا على العفّة والنصيحة,,فليس ينبغي للملك بعد ارتضائه ابن آوى وائتمانه إيّاه ورضاه عنه منذ صَحِبه إلى اليوم هذا لم يطّلع منه على خيانة ولم يظهر منه إلّا الوفاء والنصيحة والأمانة,,فليس ينبغي لك أيّها الملك بعد ارتضائك وائتمانك إيّاه ورضاك به وأنّك لم تجد عليه عثرة إلى يومه هذا ولم تعرف منه إلّا الأمانة والنصيحة
87,7d22d804-148a-4eca-a854-d5adb2679771,Mother Warns of Conspiracy,فعسى أصحابك أن يكونوا قد أرموه من ذنبه باطلًا لحسدهم له وتعاونهم عليه,,,,ثمّ تتّهمه بعد ذلك بشيء لعلّه ما فعله ولعلّ هذا †من فعل وزرائك لحسدهم إيّاه على محبّتك له,وعسى أصحابه يكونوا قد ألزموه من ذنبه باطلًا بحسدهم وتعاونهم عليه وقد عرفت أيّها الملك *خلقه وأمانته بعد خبرة بأمره ولست حقيقًا *بتهجينه وانتقامه عمّا كان عليه منه لتحميل من يحلّ به من أهل الشرارة وسوء الرؤية من وزرائك
88,54a09d85-0d76-4f9d-85a6-aeb931da17bb,Kings Must not Delegate Their Own Duties,واعلم أنّ الملوك إذا وكّلوا إلى غيرهم ما ينبغي لهم مباشرته بنفوسهم وألزموا نفوسهم ما ينبغي لهم تفويضه إلى الكفاة ضاعت أمورهم ودعوا إلى الفساد أنفسهم والملوك,,,فإنّ صاحب السلطان إذا وكّل ما ينبغي له مباشرته بنفسه من الأعمال إلى غيره وباشر منها ما كان ينبغي له أن يليه غيره ورث من عمله ذلك الندامة وأصابه منّا الضرّ الكثير,,وإنّ الملك إذا أغفل من أمره ما هو حقيق *بمباشرته وألزم نفسه مباشرة ما ينبغي تفويضه إلى الكفاءة دخل عليه من مضرّة ذلك ما يكره عاقبة إذا نظر في مغيبها واستبان له خطل رأيه فيه وضاعت أموره ودعا *العار إلى نفسه
89,4c578e2d-a078-4e61-9df0-e461b64eb620,Kings' Inattention Is Harmful,,,,,فإنّ الملك إذا فعل ذلك وتهاون به دخل عليه من ذلك مضرّة لما يعلم به من خطأ رأيه وصواب ذلك فيه,
90,3e427f9a-b748-4745-9b08-5136743a1583,Kings Should Investigate in Various Ways,يحتاجون إلى النظر في وجوه شتّى فإذا آثروا النظر في بعض تلك الوجوه على بعض لم يأمنوا خطأ البصر وذلك الرأي,,,,,والملوك يحتاجون إلى النظر في وجوه شتّى من الأمور فإذا آثروا النظر في بعض تلك الوجوه على بعض لم يأمنوا أخطاء البصر وزال الرأي
91,fda11ac7-4b15-416a-8aa5-b5bef376474a,Courtiers Must Avoid Mistakes,,,,,,
92,ca0328a8-3f60-4cde-ac6a-36d3a3351280,Deliberateness Prevents Regret,,,,,ومن لم †يستبن في الأمور ويتأيّد فيها كان جناية ثمرته الندامة,ومن لم يستبان في أمره *ويتأنّ فيه كان ثمرة جناية الندامة
93,32301420-1c14-46a4-a746-c3f5ebad283e,Vision Alone May Deceive,,,,,ومن لم ينظر في أمره نظر متفكّر معتبر كان نظره,ومن لم ينظر فيه نظر متفكّر معتبر أصابه منه الضرّ الشديد مع ما يلحقه منه العار والمنقصة
94,cc15bba3-754e-4ebe-ba59-1f9174dc8aeb,King Must Investigate Thoroughly,,,,ولكن ينبغي لهم أن لا يدعوا شيئًا يليه غيرهم ممّا *تصل إليه عاقبته إلّا التمسوا معرفته,,فالواجب على الملوك أن لا يدعوا شيئًا يليه غيرهم ممّا يصل إليهم فما سواه إلّا التمسوا معرفة ذلك واختبروه بتثبّت وإتقان
95,ee4e8d22-1d15-41a1-843b-209d09ada07e,Meat Is Tested with Three Senses,,,,كاللحم الذي لا ينبغي أن يرضى بحسن بنظره دون معرفة رائحته,,كاللحم الذي لا ينبغي أن يُرضى بحسن منظره دون معرفة رائحته وطعمه فإنّه ربّما حال منه اللون فلا يكون طعمه ورائحته موافقًا للونه
96,d03577ad-83d6-400f-82df-4b540ccbd2da,Wine Is Tested with Three Senses,كصاحب الخمر الذي أراد شراءها احتاج إلى اختبار لونها وطعمها وريحها فإن هو <آثر> بالاختبار بعض ذلك دون بعض لم يأمن الغبن والخسران,,,,,وكصاحب الخمرة الذي إذا أراد اشتراءها احتاج إلى اختبار لونها وطعمها وريحها فإن هو آثر بالاختبار بعض ذلك لم يأمن الغبن والخسران
97,704371a0-2603-4ea6-bd3a-1bc6005e3be0,Imaginary Hair in Eye Taken for Real,وكالرجل الذي يرى بين عينيه شعر وليس بشعر فلا يتثبّت في القضاء أنّه ليس بشعر من المرض ويعلم أنّه لو كان شعرًا أبصره غيره كما أبصره هو لتحيّره ومرضه,,,وكالرجل الذي يكون بين عينيه كالشعرة فإذا نظر بعقله عَلِم أن لو كانت شعرة رآها غيره ممّن ينظر إليه كما رآه هو,كنظر الذي في عينيه شيء *ثمّ يُخيلّ إليه أنّ بينهما †كهيئة شعرة معلّقة,وكالرجل الذي يكون في عينيه ريح السمادير فخُيّل إليه لها أنّ بينهما كهيئة الشعرة المعلّقة ولا يتثبّت في القضاء أنّه ليس بشعر ولو أبصر بعقله عَلِم أنّه لو كان شعرًا أبصره غيره كما أبصره هو لتحيّره وتغيير مرضه
98,25160e8f-938a-4f45-b7a6-75c9788adc3e,Firefly Is Mistaken for Fire,وكاليراعة يراها الجاهل في ظلمة الليل فيقضي عليها بالمعاينة قبل أن يلتمسها أنّها نارًا فإذا التمسها تبيّن له خطأ قضائه,,,وكالبعوضة التي يراها الرائي بالليل كأنّها نارًا فإذا رآها غيره من العقلاء عَلِم أنّها ليست بنار إذا أخذها بيده فلم يجد حرّها,أو كالجاهل الذي يرى البعوضة في الليل فيظنّ أنّها شيئًا فإذا أخذها عرف أنّها لا شيء,وكالجاهل الذي يرى البعوضة في ظلمة الليل فيقضي عليها بالمعاينة أنّها نار فإذا لمسها تبيّن له خطأ قضائه فيها
99,801b6604-ac8e-4dca-abce-22ae452e99be,King Should Have Investigated,وقد كنت حقيقًا أن تنظر في خطأ ابن آوى نظرًا متثبّتًا,وأنت أيّها الملك حقيق أن تنظر في حقّ ابن آوى,وقد كنت حقيقًا أن تنظر في أمر ابن آوى نظر متثبّت,وأنت أيضًا أيّها الملك حقيق أن تفكّر في أمر ابن آوى [[بحما]] بحكمك,وقد كنت حقيقًا أيّها الملك أنّك تعرف أمر ابن آوى برأيك وعقلك ونظرك وتقول ما يكون هذا أبدًا,وأنت أيّها الملك فقد كنت حقيقًا أن تنظر في أمر ابن آوى نظر تثبّت وتعرف برأيك وعلمك وحسن تمييزك وترجع إلى نفسك
100,a0c500c6-ae87-446b-b21e-4e584a8dd4fe,Jackal Eats no Meat,فتعلم أنّه إذ لم يأكل اللحم الذي كنت ربّما أمرت له بالكثير منه,,فتعلم أنّه إذ لم يكن يأكل اللحم الذي كنت ربّما أمرت له بالكثير منه,وتقول كيف وهو لا يأكل اللحم,لأنّه ما يأكل اللحم ولا يقربه,فتقول أنّى يكون هذا وكيف يكون هذا وهو لا يأكل اللحم ولا يقربه تنزّهًا عنه ورغبة في رفضه وقد تعلم أنّ الذي كنت تطعمه منه التماس إكرامه به
101,0db68aeb-ca63-4352-ae31-c67bfdfb62b4,Jackal Gave Back Meat,فكان يجعله في طعامك وطعام جندك,,فيجعله في طعامك وطعام جندك,وما ألقيت منه إليه كرهه فيجعله في خزانتي,,كان يزيده في مطبخك ويوفّره عليك في طعامك وطعام جندك
102,083b668e-541f-4bd6-9296-2005eec741c4,Accusing Jackal after Testing Him Is Absurd,,,,,,فكيف اتّهمته بعد اختبارك إيّاه ولا تتفكّر
103,a0daa9c9-e7ee-47a8-b570-7f24d2d118fe,Jackal Is Unlikely to Steal Meat,أنّه ليس بخليق لسرقة قليل من اللحم أمرته بالاحتفاظ به,لتعلم أنّه لم يكن *يتعرّض للحم استودعته إيّاه,إنّه ليس بخليق بسرقة قليل من اللحم أمرته بالاحتفاظ به,فيعمد إلى لحم أعطيته إيّاه لخاصّة نفسك وأمرته أن يحتفظ به فيذهب به إلى بيته سرًّا منّي,وأنت تعلم أنّه لم يكن ليأخذ اللحم الذي استودعته إيّاه وأمرته بالاحتفاظ به فيرسل به إلى بيته ويجحدك إيّاه,فتعلم أنّه ليس بخليق أن يتعرّض لسرقة لحم قليل استودعته إيّاه وأمرته بالاحتفاظ به فيرسله إلى بيته ثمّ يجحدك إيّاه ويتبرّأ من أن يكون موضعه
104,e87ee5ff-8ec2-4814-bcef-e78950b74990,Jackal Is Least Likely to Steal,,,,,هذا لا يكون أبدًا من غيره فكيف يكون من ابن آوى,
105,f44a2184-9d35-4800-a8d9-573fb9ba5115,King Must Investigate Now,فافحص عن أمره,,فافحص عن أمره,فافحص عن أمره,,فافحص عن أمره وبالغ في ذلك
106,eefc4062-de5f-4d2c-9903-5e6fe1554774,The Inferior always Envy the Superior,فإنّه لم يزل ذلك عادة الأرذال والأنذال حسد أهل المروءة والفضل واستثقالهم ولم يزل جهّال الناس يحسدون علماءهم ولئامهم يحسدون كرامهم وشرارهم يحسدون خيارهم,,فإنّه لم تزل عادة الأراذل والأنذال حسد أهل الفضل واستئصالهم,فإنّه لم يزل جهّال الناس يحسدون علماءهم ولئامهم يحسدون كرماءهم وشِرارهم يحسدون خيارهم ويتحيّلون لهلاكهم ويرون منافعهم *صارت إليهم,واعلمْ أيّدك الله أنّ الجهّال يحسدوا العلماء والأخيار ويوقعوا فيهم ما استطاعوا,واعلم أنّه لم يزالوا الجهّال يحادّون العلماء ولم يزالوا اللئام يحسدون الكرام والأشرار يبغضون الأخيار والجبناء يكرهون الشجعان ويتمحّلون ما استطاعوا ليوقعوهم ويرون منافعهم لهم ضارًّا لاستثقالهم للحقّ وعداوتهم لأهل الدين والعلم والمروءة والفضل
107,1ca3e27c-e5ab-4b62-82cd-cd235e6076b7,Jackal's Superiority Causes Envy,ولابن آوى مروءة وفضل,,ولابن آوى مروءة ومودّة وفضل,وإنّ ابن آوى لم يزل فاضل العلم,وابن آوى كثير العلم والحظّ من الأمانة وله دين وعقل,وإنّ ابن آوى لم يزال كثير العلم فاضل الحلم ذا حظّ من لبّ وأمانة ودين
108,0c42b7bf-1260-4883-b733-0173be36066b,Investigation Would Clear Jackal,,ولعلّ الملك إن يفحص عن ذلك يظهر له فإنّ ابن آوى *له خصماء هم الذين ائتمروا بهذا الأمر,,فلعلّ الملك لو قد فحص عنه واستبان له أنّه بريء وإنّ هذا إنّما هو مكر من أعدائه الذين ائتمروا بهذا الأمر,ولو فحصت عنه وعن أمره لبان لك براءته ممّا لُطّخ به وسعاية أهل المكر والفجور,وعسى بك إن فحصت عن أمره أن يستبين لك من برائته ممّا لطّخ به أهل المكر والجهل والفجور الذي محلوا به *وتمايلوا عليه وكانوا خصماءه
109,95c63ee0-f9eb-4954-bbc3-57b1115e4e37,Jackal Has Many Enviers,,,,,,
110,d2b5b02e-966b-4173-8c97-17900a9cf4cb,Jackal's Foes Perhaps Hid Meat,فعسى أعداؤه من أصحابك *لطفوا لموضع ذلك اللحم فجعلوه في منزله من غير علم منه,وهم الذين ذهبوا باللحم إلى بيته فوضعوه فيه,فعسى أعداؤه من أصحابك أن يكونوا لطفوا بوضع ذلك اللحم في منزله عن غير *علمه بذلك,وذهبوا به إلى منزله *فخبّؤوه فيه,فإنّهم هم الذين ذهبوا باللحم إلى بيته وخبّؤوه فيه من غير علمه,فإنّهم هم الذين ذهبوا باللحم إلى بيته *وخبّؤوه في داره بغير علمه ولا درايته ولا معرفته بذلك ولا بشيء منه
111,fddec08f-8533-4a09-aafa-5b225746c79c,Competition and Envy Are Universal,,,,,,
112,0eafd79f-f616-42d4-8a65-fa74af30ee39,Kite's Booty Attracts Competitors,فإنّ الحدأة إذا أصابت البضعة من اللحم نافسها فيها كثير من الطير,فإنّ الحدأة إذا كان في رجلها قطعة لحم اجتمع عليها سائر الطير,فإنّ الحدأة إذا أصابت البضعة من اللحم نافسها فيها الطيور,فإنّ الحدأة إذا كان في رجلها البضعة من اللحم أقبلت عليها الطير والكلاب,فإنّ الحدأة إذا كان في مخالبها لحم قاتلها الطير حتّى يزيلوه منها,فإنّ الحدأة إذا أصابت بضعة من اللحم فأخذته في مخاليبها نافسها كثير من الطير على ذلك وأقبلن عليها ينازعنها
113,cb666ec2-2d41-48f3-aba0-f3332a595ad4,Dog's Bone Attracts Competitors,والكلب إذا كان في فيه العظم تعاون عليه عدّة من الكلاب,والكلب إذا كان معه عظم اجتمعت عليه الكلاب,والكلب إذا كان في فيه عظم يعوي عليه عدوّه من الكلاب,,وكذلك الكلب إذا كان في فيه لحم فعلت الكلاب مثل ذلك,والكلب إذا كان في فيه العظم تعاوى عدّة من الكلاب حتّى يكون بينهم ما يكون
114,fa4844b8-65ec-4d22-9e4e-6a7fcbc04bd1,Schemers Pursue Only Own Benefit,وإنّ خصماء ابن آوى لم ينظروا فيما يضرك ولم يرغبوا فيه عليك إلّا لعاجل منفعة أنفسهم,,,وإنّ خصماء ابن آوى لم ينظروا في ما يضرّك ولن يستبْقَوه لعاجل منفعته أنفسهم,فأمّا الذين بغوا على ابن آوى لم يبالوا ولم يسألوا في مضرّة تدخل عليك,وإنّ أعداء ابن آوى بغوا عليه ولم يروا فيما يدخلونه عليك بسببه كي تضرّه ولم يستبْقَوه لعاجل منفعة أنفسهم
115,918283f6-8177-4af8-a147-8f532bb6b0eb,King Must Protect Himself,فانظر أنت فيما ينفعك لنفسك إن لم ينظر لك أحد ولا تمالئهم على ما يضرّك,,,فانظر أنت فيما ينفعك ولا تمالئهم فيما يضرّك,فانظره لنفسك ولا تلتفتْ إليهم لأنّ جميع الناس عامّة والملك خاصّة,فلا تنقادنّ لهم فيما تدعو أنت به الضرر إلى نفسك ولا تمالئهم عليه فانظر لنفسك ولا تلتفت إليهم فيما يشينك
116,dad9ca63-5127-48ac-8781-bb3279132196,Lack of Good Advisors Is Damaging,فإنّ أعظم الأشياء ضررًا على الناس عامّة وعلى الولاة خاصّة أمران أن يُحرموا صالح الأعوان والوزراء والإخوان <وأن> يكون وزراؤهم وإخوانهم غير ذي مروءة ولا,,فإنّ أعظم الأشياء ضرر الحسّاد وأن يُحرموا صالح الأعوان والوزراء والإخوان وأن يكون وزراؤهم وأعوانهم غير ذي مروءة ولا غناء,فإنّ خلّتين ينبغي لكلّ أحد ألّا يعدوهما ولا سيّما الملوك خاصّة فإنّها من أعظم المصائب وأنفَسها لأعمالهم ومروءاتهم معارفة أهل العلم والرفق بالعمل !ومقاربة أشرارهم الجهّال بالعلم ذوي الخرق فيه,,فإنّ أعظم الأشياء ضررًا على الناس عامّة وعلى السلطان خاصّة خلّتان ينبغي لهم أن يعدّوها من أعظم ما يكون من المصائب دخول البليّة عليهم ومفارقة أهل الصلاح والعلم والرفق بالعمل وأن يكون وزراؤهم وإخوانهم غير ذوي مروءة ولا غناء في عمل ولا في رأي غير مأمون خوفهم
117,076ce3fc-e3fa-4782-a4dd-972b36fa347f,King Must not Forsake Good People,,,,,,
118,a6e7693f-694b-40aa-86a1-c685d014f32f,Jackal does not Need Lion,غناء ولم يزل غناء ابن آوى عنك عظيمًا,,فلم يزل غناء ابن آوى عنك عظيمًا,,,ولم يزل غناء ابن آوى عنك عظيمًا
119,2688476b-1634-4263-ae40-9c06768e8e5d,Lion Benefited from Jackal,,وابن آوى كان إلى اليوم نافعًا,,وكان قرب ابن آوى منك إلى اليوم نافعًا,واعلمْ أنّ ابن آوى من أهل العلم والأدب وقُربه منك منفعة لك,وقربه منك لك نافعًا
120,8bc338ce-637e-4352-beb8-cd8243489afa,King's Kindness Is Scholar's Merit,,,,,,لأنّ العالم إذا صحب السلطان وكان السلطان محسنًا إليه كان الفضل للعالم
121,d763ecd1-86e8-4f50-8e5b-0f6a6c1ab360,Jackal Toiled for Lion,يؤثر منفعتك على هواه ويشتري راحتك بنصبه ورضاك بسخطه,وكان محتملًا لكلّ ضرر في جنب منفعة تصل إليك ولكلّ عناء يكون لك فيه راحة,يؤثر منفعتك على منفعته ويشتري راحتك بنصبه ورضاك بسخط الأصحاب,وكان محتملًا لكلّ ضرّ وصل إليه في جنب منفعة تصل إليك,,وكان مساءة أصحابك تهون عليه في مسرّتك وكان محتملًا لكلّ ضرر وصل إليه في جنب منفعتك وكان يشتري راحتك بنصبه محتملًا *للعناء في رضاك غير كاره لسخط غيرك
122,b1566cb6-6980-4c28-9e55-df1e812f55bf,Jackal Hid no Secrets from Lion,لا يطوي عنك أمرًا ولا يكتمك سرًّا ولا يرى شيئًا احتمله لك أو بذله لك عظيمًا,ولم يكن يطوي دونك سرًّا,لا يطوي عنك أمرًا ولا يكتم سرًّا ولا يرى شيئًا إلّا أحمله لك أو بذله,ولم يكن يطوى دونك سرًّا ولم يكن يرى ما شقّ عليه من قول أو فعل أو عطاء إذا فعله في مرضاتك ضرًّا ولا مكرًا,,ولم يكن يطو عنك أمرًا ولا يكتمك سرًّا ولا يرى شيئًا احتمله لك أو بذله وإن عظم عظيمًا
123,5a7077d5-f99d-4dbf-b694-46e84c684b59,Jackal Is Unmatched,,,,,ومثله في الأصحاب والوزراء لا يوجد لأنّ ما †عندك أفضل منه ولا أرجح عقل لأنّه ينفعك في كلّ الأمور فأنت تعتمد عليه في كلّ شدّة وعند كلّ أمر,
124,0f27c44b-109f-407a-adab-2a5de60a75fe,Such Advisors Are Like Family,فمن كان من الأصحاب هذه صفته فإنّما منزلته منزلة الآباء والأبناء والإخوان,,فمن كان من الأصحاب هذه صفته فإنّما منزلته منزلة الآباء والأبناء والإخوان,ومن كان كذلك من الأخلّاء فهو بمنزلة الأب والأمّ,,فمن كان من الأصحاب كذلك *وإلّا ففارقه *واستغني بغيره عنه وهذه صفته فإنّما منزلته منزلة الآباء والأبناء والإخوان
